nk_Deal,annual_interest_rate,nb_TotalPayments,dt_LastPaymentDate,dt_LoanStartDate,dt_NextPaymentDate,am_EstimatedBalance
818,10.07,51,21/06/2023,02/09/2020,08/12/2023,108707.23
819,8.32,52,05/02/2024,22/09/2019,03/03/2024,11882.6
820,4.16,52,26/12/2023,05/06/2021,16/10/2023,54151.07
821,6.19,45,09/11/2023,10/11/2021,21/04/2023,65310.88
822,11.26,48,01/05/2023,01/05/2022,26/05/2023,25348.9
823,9.75,46,17/02/2024,21/09/2022,13/11/2023,115117.67
824,4.18,55,30/09/2023,20/11/2018,14/11/2023,95425.13
825,11.38,45,16/04/2023,18/07/2022,16/12/2023,94883.25
826,8.9,30,14/06/2023,15/06/2022,28/12/2023,124757.82
827,11.49,33,11/02/2024,15/10/2021,04/02/2024,42256.64
828,3.67,50,29/02/2024,10/08/2021,10/09/2023,116736.09
829,11.78,50,18/02/2023,08/04/2020,27/01/2024,64882.35
830,10.56,57,24/08/2023,05/11/2021,01/02/2024,42034.76
831,8.5,44,30/05/2023,14/10/2021,28/06/2023,86759.48
832,5.64,57,10/03/2024,09/12/2022,29/02/2024,133927.35
833,9.01,56,07/07/2023,15/12/2019,06/08/2023,137281.48
834,9.71,55,19/11/2023,30/08/2022,09/09/2023,113403.66
835,4.9,46,04/12/2023,23/11/2021,12/02/2024,12970.43
836,3.57,35,02/01/2024,14/01/2022,09/07/2023,32562.68
837,10.81,51,13/08/2023,06/01/2021,03/04/2024,141404.28
838,4.45,40,20/09/2023,20/10/2019,25/11/2023,44840.45
839,4.94,51,10/06/2023,02/01/2023,01/12/2023,50239.89
840,10.73,58,03/03/2023,15/01/2023,28/01/2024,8149.55
841,8.36,36,11/02/2024,03/02/2024,06/07/2023,119150.2
842,11.1,49,16/02/2023,27/07/2021,01/03/2024,22987.7
843,4.26,35,09/01/2024,21/02/2020,08/11/2023,72209.01
844,4.26,49,29/10/2023,16/07/2023,02/07/2023,64518.11
845,6.44,40,22/12/2023,14/11/2021,13/04/2024,75293.91
846,10.08,58,16/07/2023,31/12/2020,08/02/2024,141447.93
847,7.53,44,18/02/2023,27/03/2020,18/11/2023,133308.43
848,7.81,54,16/08/2023,16/11/2021,11/05/2023,76477.07
849,6.59,33,16/03/2023,25/04/2020,07/01/2024,42397.06
850,2.46,39,02/06/2023,30/04/2020,29/09/2023,128483.67
851,4.67,57,14/11/2023,08/04/2022,05/11/2023,3118.08
852,7.09,48,02/02/2023,31/07/2019,31/10/2023,79707.13
853,11.78,47,16/07/2023,22/01/2023,24/10/2023,6929.87
854,9.48,45,11/03/2023,02/02/2021,17/07/2023,83574.66
855,7.19,36,12/10/2023,07/06/2022,22/09/2023,17201.98
856,6.98,57,17/12/2023,01/09/2019,12/02/2024,70263.47
857,6.34,56,24/11/2023,02/09/2023,25/08/2023,91739.58
858,3.92,42,10/10/2023,20/03/2023,16/10/2023,24661.5
859,3.33,40,11/10/2023,04/02/2019,06/03/2024,50373.57
860,2.76,31,02/12/2023,22/08/2020,28/12/2023,148618.61
861,5.1,40,05/05/2023,27/10/2023,24/12/2023,136951.72
862,10.07,45,22/11/2023,06/12/2022,21/09/2023,32888.79
863,2.41,40,28/09/2023,25/12/2020,01/07/2023,79661.74
864,8.8,30,24/05/2023,22/04/2022,18/03/2024,133785.51
865,9.05,38,20/02/2023,17/11/2023,16/07/2023,15389.97
866,5.14,60,31/10/2023,29/01/2024,19/04/2023,16027.53
867,7.54,60,20/12/2023,20/03/2020,16/03/2024,136421.31
868,2.76,53,22/01/2024,27/07/2019,30/09/2023,108752.56
869,6.94,56,22/11/2023,01/04/2021,13/10/2023,138206.52
870,10.77,53,03/02/2023,06/06/2021,20/04/2024,9156.76
871,4.19,36,04/02/2023,30/10/2020,27/04/2024,33132.54
872,11.31,38,19/12/2023,27/10/2023,05/11/2023,81110.24
873,4.16,45,07/02/2024,22/02/2024,17/09/2023,78942.21
874,4.59,42,11/02/2024,09/01/2021,19/03/2024,114044.76
875,8.64,48,07/06/2023,07/12/2020,08/05/2023,25212.93
876,8.06,39,15/11/2023,02/09/2020,05/11/2023,149143.97
877,10.01,42,16/05/2023,31/05/2023,05/02/2024,54805.56
878,8.96,44,11/07/2023,28/05/2020,21/05/2023,135326.34
879,9.71,31,26/12/2023,24/12/2023,05/03/2024,58665.77
880,2.25,50,02/02/2023,11/01/2024,17/10/2023,143939.58
881,2.7,33,06/09/2023,12/04/2019,19/06/2023,64426.24
882,8.89,51,24/04/2023,19/09/2023,30/09/2023,16987.71
883,5.11,49,11/07/2023,22/05/2021,09/02/2024,108873.04
884,8.2,50,21/11/2023,01/01/2020,18/11/2023,31302.05
885,8.48,59,19/11/2023,17/10/2019,19/03/2024,56948.17
886,6.46,34,06/10/2023,18/05/2020,05/08/2023,82061.15
887,9.48,56,09/03/2024,18/02/2022,28/11/2023,60232.41
888,4.6,59,19/03/2023,03/06/2019,27/04/2024,111211.25
889,7.77,30,08/08/2023,27/05/2021,16/05/2023,27831.71
890,8.54,36,23/04/2023,24/04/2023,09/10/2023,38146.56
891,3.24,58,07/09/2023,07/01/2019,12/02/2024,16627.76
892,4.72,53,18/10/2023,19/09/2020,22/09/2023,10087.3
893,2.41,49,18/05/2023,14/07/2022,03/01/2024,136609.94
894,5.89,33,24/05/2023,24/08/2022,16/04/2024,27044.33
895,7.62,38,16/05/2023,07/02/2019,04/01/2024,58913.42
896,11.12,49,12/06/2023,26/05/2022,17/04/2023,25254.77
897,6.94,47,18/02/2023,10/01/2021,26/09/2023,138524.68
898,9.93,59,21/11/2023,15/08/2019,30/07/2023,116958.42
899,4.2,48,12/04/2023,20/08/2022,17/03/2024,60135.43
900,8.58,51,02/06/2023,20/03/2019,05/11/2023,97809.22
901,5.68,50,04/03/2024,15/06/2020,25/05/2023,102906.95
902,5.73,57,26/07/2023,28/05/2020,11/09/2023,146936.6
903,2.91,39,31/08/2023,03/09/2020,08/02/2024,91599.79
904,6.6,37,23/07/2023,14/03/2021,19/01/2024,78607.41
905,3.47,32,30/07/2023,09/11/2019,10/10/2023,30982.62
906,4.88,54,02/04/2023,04/10/2023,28/06/2023,37410.58
907,4.54,44,19/11/2023,20/06/2022,01/02/2024,102660.15
908,4.92,32,12/10/2023,20/11/2023,08/06/2023,94150.56
909,5.66,46,19/11/2023,04/11/2019,24/10/2023,130775.25
910,11.04,57,04/03/2023,25/03/2019,24/10/2023,28407.77
911,11.29,53,22/10/2023,27/05/2020,25/05/2023,81673.18
912,9.19,39,09/02/2023,16/07/2022,17/04/2023,25096.85
913,3.9,42,02/07/2023,31/12/2022,07/08/2023,30402.45
914,6.95,58,31/10/2023,10/12/2021,07/05/2023,33300.57
915,3.54,51,17/07/2023,03/04/2022,25/09/2023,40795.81
916,5.9,52,01/06/2023,21/02/2019,03/10/2023,51053.72
917,2.81,39,27/06/2023,30/06/2021,16/11/2023,121172.96
918,6.56,47,28/07/2023,17/06/2019,15/07/2023,98965.93
919,3.7,35,16/05/2023,12/09/2023,07/03/2024,11768.96
920,11.22,40,17/06/2023,13/01/2019,05/04/2023,68088.61
921,7.14,44,06/05/2023,16/12/2023,02/05/2023,144119.38
922,8.82,43,08/01/2024,06/06/2020,13/11/2023,116232.66
923,5.33,59,22/02/2023,16/11/2021,28/07/2023,118724.39
924,2.72,55,07/05/2023,07/08/2023,11/11/2023,61192.27
925,4.63,38,05/02/2024,21/06/2023,23/09/2023,80439.28
926,5.32,45,06/08/2023,06/04/2022,07/10/2023,41839.01
927,5.91,48,22/02/2024,04/02/2022,19/04/2024,33992.83
928,3.81,44,01/06/2023,11/05/2023,31/07/2023,22245.46
929,4.25,58,03/11/2023,30/03/2020,27/12/2023,132395.16
930,2.42,37,03/12/2023,29/12/2019,21/09/2023,18039.57
931,6.36,46,24/02/2024,20/01/2019,07/01/2024,8646.93
932,10.86,44,16/08/2023,01/04/2019,17/04/2023,85827.98
933,3.27,58,10/02/2024,30/09/2022,11/05/2023,134012.26
934,9.45,38,13/06/2023,09/10/2023,05/04/2024,108016.38
935,10.02,42,18/06/2023,08/10/2019,01/03/2024,23806.46
936,11.63,57,07/01/2024,13/04/2019,20/09/2023,96452.84
937,5.22,39,10/08/2023,31/12/2022,23/01/2024,78742.77
938,7.43,52,20/05/2023,17/11/2022,09/02/2024,59846.31
939,6.89,37,27/04/2023,15/10/2021,08/11/2023,95116.61
940,2.78,39,25/10/2023,05/05/2022,23/01/2024,102810.68
941,8.13,45,05/11/2023,29/01/2020,12/10/2023,74391.5
942,10.7,59,01/01/2024,29/07/2022,20/07/2023,7517.3
943,7.81,37,14/07/2023,12/12/2021,14/04/2023,82656.64
944,7.47,55,13/01/2024,09/08/2022,25/06/2023,97411.29
945,9.19,31,13/01/2024,27/04/2023,18/10/2023,121203.53
946,11.96,47,14/05/2023,08/08/2022,10/10/2023,120825.17
947,11.61,38,07/10/2023,30/08/2021,02/06/2023,57684.78
948,3.04,46,10/02/2024,08/08/2021,16/05/2023,16063.4
949,2.18,31,07/03/2023,13/03/2024,28/02/2024,5964.32
950,11.01,38,02/03/2023,13/11/2020,25/09/2023,112811.19
951,11.66,50,16/10/2023,11/01/2020,10/02/2024,28470.32
952,4.64,47,27/11/2023,17/11/2018,30/03/2024,134891.88
953,11.24,32,19/02/2023,15/06/2023,20/09/2023,6560.69
954,8.21,48,25/08/2023,28/05/2019,30/01/2024,47135.27
955,9.31,51,18/02/2024,22/08/2021,30/01/2024,47193.51
956,10.85,33,02/12/2023,01/02/2021,09/05/2023,134815.06
957,3.85,38,20/11/2023,06/11/2018,15/09/2023,146100.04
958,10.98,54,20/09/2023,08/04/2022,19/10/2023,147975.79
959,3.28,40,14/02/2024,04/11/2020,01/05/2023,82526.09
960,6.09,51,29/01/2024,09/01/2020,27/01/2024,6379.56
961,6.56,54,01/04/2023,20/07/2020,20/06/2023,53860.24
962,9.59,41,25/11/2023,27/11/2021,05/12/2023,46187.25
963,9.15,51,14/01/2024,06/12/2021,26/12/2023,68448.35
964,5.84,35,01/06/2023,11/06/2021,24/01/2024,51929.63
965,3.3,33,20/10/2023,05/12/2020,06/08/2023,90183.12
966,10.59,52,12/09/2023,05/08/2023,21/07/2023,64272.13
967,11.79,59,17/06/2023,11/07/2021,17/10/2023,68602.18
968,7.61,45,18/04/2023,18/06/2022,14/11/2023,14597.38
969,6.3,50,06/07/2023,03/10/2023,22/07/2023,125413.9
970,9.9,31,25/06/2023,26/05/2020,12/07/2023,36479.86
971,5.57,55,26/09/2023,21/04/2019,07/07/2023,87029.28
972,6.99,48,29/09/2023,23/04/2022,29/10/2023,26751.68
973,10.81,38,12/10/2023,03/04/2020,14/02/2024,67111.87
974,8.42,47,22/01/2024,28/11/2020,18/06/2023,64196.7
975,10.69,54,18/05/2023,23/06/2021,24/08/2023,18576.23
976,3.75,56,01/04/2023,27/08/2022,28/09/2023,142270.39
977,6.63,41,05/03/2024,13/12/2019,30/03/2024,55426.2
978,7.43,34,10/03/2023,30/09/2023,01/09/2023,95098.5
979,8.28,34,11/01/2024,15/11/2020,24/05/2023,91824.51
980,5.22,50,14/04/2023,10/06/2021,23/11/2023,85514.29
981,3.73,41,08/07/2023,15/02/2023,01/04/2024,21396.75
982,11.42,59,17/11/2023,14/06/2023,01/03/2024,68622.94
983,2.71,57,25/02/2023,04/03/2024,31/03/2024,17250.02
984,3.44,40,16/02/2024,29/06/2022,06/01/2024,94221.67
985,2.87,34,02/09/2023,15/11/2020,17/04/2024,7193.05
986,3.68,50,24/06/2023,08/10/2020,17/08/2023,14651.7
987,2.89,46,05/10/2023,04/09/2020,16/07/2023,88927.7
988,8.02,30,13/04/2023,07/08/2021,02/06/2023,75344.32
989,3.64,53,17/12/2023,17/06/2020,29/03/2024,3586.14
990,2.92,45,08/09/2023,16/02/2020,10/03/2024,38989.38
991,11.32,47,14/06/2023,29/09/2023,22/07/2023,11115.99
992,10.26,41,02/06/2023,07/05/2021,27/02/2024,147495.56
993,2.59,35,02/09/2023,03/11/2022,12/06/2023,48927.75
994,10.8,54,31/01/2024,10/05/2023,16/12/2023,107455.48
995,8.88,34,29/10/2023,28/02/2022,30/03/2024,29711.44
996,11.14,40,08/10/2023,09/09/2023,16/08/2023,55012.29
997,10.68,51,01/10/2023,22/08/2023,07/07/2023,23542.07
998,5.02,49,24/11/2023,28/11/2021,21/10/2023,77254.07
999,3.88,50,12/04/2023,03/05/2023,28/05/2023,59432.2
1000,4.08,38,18/12/2023,07/02/2021,07/08/2023,53021.35
